episode,omega,omega5,omega1
0,98.6,59.8,90.3
40,79.9,61.4,90.3
80,53.9,67.4,0.0
120,53.9,66.4,0.0
160,48.8,48.5,0.0
200,39.3,47.7,0.0
240,0.0,0.0,0.0
280,0.0,0.0,0.0
320,0.0,0.0,0.0
360,0.0,0.0,0.0
400,0.0,0.0,0.0
440,0.0,0.0,0.0
480,0.0,0.0,0.0
520,0.0,0.0,0.0
560,0.0,0.0,0.0
600,0.0,0.0,0.0
640,0.0,0.0,0.0
680,0.0,0.0,0.0
720,0.0,0.0,0.0
760,0.0,0.0,0.0
800,0.0,0.0,0.0
840,0.0,0.0,0.0
880,0.0,0.0,0.0
920,0.0,0.0,0.0
960,0.0,0.0,0.0
1000,0.0,0.0,0.0
1040,0.0,0.0,0.0
1080,0.0,0.0,0.0
1120,0.0,0.0,0.0
1160,0.0,0.0,0.0
1200,0.0,0.0,0.0
1240,0.0,0.0,0.0
1280,0.0,0.0,0.0
1320,0.0,0.0,0.0
1360,0.0,0.0,0.0
1400,0.0,0.0,0.0
1440,0.0,0.0,0.0
1480,0.0,0.0,0.0
1520,0.0,0.0,0.0
1560,0.0,0.0,0.0
1600,0.0,0.0,0.0
1640,0.0,0.0,0.0
1680,0.0,0.0,0.0
1720,0.0,0.0,0.0
1760,0.0,0.0,0.0
1800,0.0,0.0,0.0
1840,0.0,0.0,0.0
1880,0.0,0.0,0.0
1920,0.0,0.0,0.0
1960,0.0,0.0,0.0
2000,0.0,0.0,0.0
