episode,omega,omega1,omega5
0,0.282028771672,0.285719080741,0.432252147586
10,0.330187091416,0.24072601932,0.429086889263
20,0.490788639691,0.209142024879,0.30006933543
30,0.52608439227,0.230087953293,0.243827654437
40,0.570686548684,0.204146956074,0.225166495242
50,0.539646036579,0.223388729795,0.236965233626
60,0.533423661935,0.211307828118,0.255268509947
70,0.576116884766,0.211941557617,0.211941557617
80,0.61889314075,0.190553429625,0.190553429625
90,0.602729912473,0.198635043764,0.198635043764
100,0.592857862331,0.205810260279,0.201331877391
110,0.559508722978,0.212100266552,0.22839101047
120,0.59793860464,0.233805151095,0.168256244265
130,0.601625867427,0.253822643561,0.144551489012
140,0.677155815963,0.250610866373,0.072233317664
150,0.639236726357,0.299248654909,0.0615146187339
160,0.648235598645,0.314899710394,0.0368646909615
170,0.724432591721,0.238028095811,0.0375393124676
180,0.76776438495,0.194315455094,0.0379201599568
190,0.811857893342,0.175796190701,0.0123459159571
200,0.721243425316,0.266127815321,0.0126287593622
210,0.75457565067,0.236076413621,0.00934793570907
220,0.750150813061,0.243538312351,0.00631087458776
230,0.711394435974,0.285781358661,0.00282420536485
240,0.706723082953,0.291091866613,0.00218505043395
250,0.760361435782,0.237411255746,0.00222730847278
260,0.751460561256,0.246908723485,0.00163071525902
270,0.595069330867,0.403298878563,0.0016317905702
280,0.652188501964,0.347003072226,0.000808425810228
290,0.692978424505,0.306126637762,0.000894937733384
300,0.730258495448,0.268915868672,0.000825635880588
310,0.721313578861,0.278125921138,0.000560500000752
320,0.74120495655,0.25834016399,0.000454879459906
330,0.71733988944,0.282181299989,0.000478810570787
340,0.671425741109,0.328127884205,0.0004463746859
350,0.702525123884,0.2969848609,0.000490015215707
360,0.760335428954,0.239070787431,0.000593783615177
370,0.808446263666,0.1898272053,0.00172653103364
380,0.768708644909,0.230606321893,0.000685033198064
390,0.727164975066,0.272095573462,0.000739451471486
400,0.708177261429,0.291399282529,0.000423456041498
410,0.757568055433,0.241800589345,0.000631355221666
420,0.656588988637,0.342769508586,0.00064150277743
430,0.731042707512,0.268398249059,0.000559043428876
440,0.716843999372,0.28255076762,0.000605233008446
450,0.707786262279,0.291529779088,0.000683958632958
460,0.771592706903,0.227797443656,0.000609849440625
