episode,omega2,omega3,omega4,omega
1,0.25,0.25,0.25,0.25
2,0.25,0.25,0.25,0.25
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.25,0.25,0.25,0.25
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.272919109452,0.242360296849,0.242360296849,0.242360296849
12,0.275281859992,0.241572713336,0.241572713336,0.241572713336
13,0.277657254255,0.240780915248,0.240780915248,0.240780915248
14,0.273862688233,0.242045770589,0.242045770589,0.242045770589
15,0.275755929456,0.241414690181,0.241414690181,0.241414690181
16,0.277657254255,0.240780915248,0.240780915248,0.240780915248
17,0.279566628164,0.240144457279,0.240144457279,0.240144457279
18,0.281484015699,0.2395053281,0.2395053281,0.2395053281
19,0.277657254255,0.240780915248,0.240780915248,0.240780915248
20,0.279247841706,0.240250719431,0.240250719431,0.240250719431
21,0.28084399835,0.239718667217,0.239718667217,0.239718667217
22,0.277657254255,0.240780915248,0.240780915248,0.240780915248
23,0.279020273473,0.240326575509,0.240326575509,0.240326575509
24,0.280387386524,0.239870871159,0.239870871159,0.239870871159
25,0.281758580261,0.23941380658,0.23941380658,0.23941380658
26,0.283133841274,0.238955386242,0.238955386242,0.238955386242
27,0.280045225179,0.23998492494,0.23998492494,0.23998492494
28,0.28124390525,0.239585364917,0.239585364917,0.239585364917
29,0.282445703207,0.239184765598,0.239184765598,0.239184765598
30,0.283650609964,0.238783130012,0.238783130012,0.238783130012
31,0.284858616279,0.23838046124,0.23838046124,0.23838046124
32,0.286069712752,0.237976762416,0.237976762416,0.237976762416
33,0.27858324232,0.2303769568,0.2303769568,0.260662844079
34,0.279496822353,0.22976416734,0.22976416734,0.260974842968
35,0.27590785323,0.230585678475,0.230585678475,0.26292078982
36,0.276682598331,0.230015977194,0.230015977194,0.263285447281
37,0.273665119357,0.230650866501,0.230650866501,0.265033147641
38,0.274329500818,0.230115174349,0.230115174349,0.265440150484
39,0.271734783218,0.230611763665,0.230611763665,0.267041689451
40,0.273673811889,0.231256582014,0.231256582014,0.263813024084
41,0.274288498762,0.230777304311,0.230777304311,0.264156892616
42,0.271972409081,0.231229091526,0.231229091526,0.265569407867
43,0.269984399975,0.231574732729,0.231574732729,0.266866134566
44,0.270461221157,0.23113763221,0.23113763221,0.267263514422
45,0.270938048909,0.230700645265,0.230700645265,0.26766066056
46,0.269098662919,0.230995797468,0.230995797468,0.268909742144
47,0.270769553125,0.231642833141,0.231642833141,0.265944780594
48,0.271223343551,0.231245135776,0.231245135776,0.266286384897
49,0.266724438406,0.226639107307,0.226639107307,0.279997346979
50,0.264894936499,0.2268222372,0.2268222372,0.281460589101
51,0.266674080429,0.227623718211,0.227623718211,0.278078483149
52,0.265025381046,0.227788905936,0.227788905936,0.279396807081
53,0.266590843738,0.228455184635,0.228455184635,0.276498786992
54,0.268003233643,0.228984724541,0.228984724541,0.274027317274
55,0.269296389224,0.229407544408,0.229407544408,0.271888521961
56,0.269650129852,0.229027951107,0.229027951107,0.272293967934
57,0.270003707258,0.228648454191,0.228648454191,0.272699384361
58,0.268398038104,0.228881954838,0.228881954838,0.273838052221
59,0.269609420025,0.22927347285,0.22927347285,0.271843634276
60,0.270738079022,0.229590873541,0.229590873541,0.270080173897
61,0.271088421281,0.229246532733,0.229246532733,0.270418513253
62,0.272163023409,0.229513089115,0.229513089115,0.268810798362
63,0.270623084325,0.2297785247,0.2297785247,0.269819866275
64,0.271617118776,0.230014746725,0.230014746725,0.268353387774
65,0.270204425984,0.230253023354,0.230253023354,0.269289527309
66,0.260119553657,0.221105805991,0.221105805991,0.297668834362
67,0.258660904737,0.221133801677,0.221133801677,0.29907149191
68,0.259947332849,0.22170641341,0.22170641341,0.296639840331
69,0.258591533175,0.221725515671,0.221725515671,0.297957435483
70,0.258689930638,0.221308739282,0.221308739282,0.298692590798
71,0.257409381615,0.221302684698,0.221302684698,0.299985248989
72,0.257486090228,0.220891194028,0.220891194028,0.300731521717
73,0.256271601615,0.220862905895,0.220862905895,0.302002586595
74,0.25632845739,0.220456145659,0.220456145659,0.302759251293
75,0.256384452358,0.220049384909,0.220049384909,0.303516777823
