episode,omega1,omega5
0,0.336261302596,0.663738697404
10,0.352972191054,0.647027808946
20,0.342989537327,0.657010462673
30,0.364936877313,0.635063122687
40,0.355946811441,0.644053188559
50,0.352059197919,0.647940802081
60,0.288845040426,0.711154959574
70,0.312598269441,0.687401730559
80,0.278683758374,0.721316241626
90,0.278482783749,0.721517216251
100,0.274083935716,0.725916064284
110,0.277078456202,0.722921543798
120,0.280698391508,0.719301608492
130,0.253506016662,0.746493983338
140,0.258841230902,0.741158769098
150,0.220457891247,0.779542108753
160,0.176971809777,0.823028190223
170,0.167562741026,0.832437258974
180,0.0835547669803,0.91644523302
190,0.0642840748855,0.935715925114
200,0.0431072549411,0.956892745059
210,0.0288043926305,0.971195607369
220,0.0313102155819,0.968689784418
230,0.0208567564889,0.979143243511
240,0.0139393787001,0.9860606213
250,0.0071320426618,0.992867957338
260,0.00625561845145,0.993744381549
270,0.00450523415174,0.995494765848
280,0.00339178972345,0.996608210277
290,0.00258356021401,0.997416439786
300,0.199088660184,0.800911339816
310,0.306400847442,0.693599152558
320,0.198451618344,0.801548381656
330,0.240854580798,0.759145419202
340,0.272891783659,0.727108216341
350,0.280900342584,0.719099657416
360,0.256164517529,0.743835482471
370,0.199727237416,0.800272762584
380,0.327613227747,0.672386772253
390,0.325194727418,0.674805272582
400,0.285161695001,0.714838304999
410,0.291729309868,0.708270690132
420,0.293385046326,0.706614953674
430,0.303433666962,0.696566333038
440,0.344342894502,0.655657105498
450,0.252372252563,0.747627747437
460,0.253884684647,0.746115315353
470,0.277479246728,0.722520753272
480,0.276277947131,0.723722052869
490,0.296921657774,0.703078342226
500,0.235772168942,0.764227831058
510,0.332921722904,0.667078277096
520,0.295878922796,0.704121077204
530,0.312598269441,0.687401730559
540,0.266784194759,0.733215805241
550,0.342088713424,0.657911286576
560,0.277278806833,0.722721193167
570,0.342088713424,0.657911286576
580,0.305127214499,0.694872785501
590,0.284347018171,0.715652981829
600,0.246753996051,0.753246003949
610,0.303856556426,0.696143443574
620,0.249178206891,0.750821793109
630,0.285773622446,0.714226377554
640,0.308530145682,0.691469854318
650,0.346604104047,0.653395895953
660,0.342538983531,0.657461016469
670,0.344568700497,0.655431299503
680,0.250302425959,0.749697574041
690,0.337154645059,0.662845354941
700,0.338944818807,0.661055181193
710,0.259417174496,0.740582825504
720,0.291729309868,0.708270690132
730,0.287614122107,0.712385877893
740,0.208168626716,0.791831373284
750,0.301956174236,0.698043825764
760,0.305339280405,0.694660719595
770,0.284550555839,0.715449444161
780,0.275279324066,0.724720675934
790,0.285773622446,0.714226377554
800,0.332033977982,0.667966022018
810,0.277679775848,0.722320224152
820,0.291316235429,0.708683764571
830,0.288845040426,0.711154959574
840,0.329377914411,0.670622085589
850,0.257691842772,0.742308157228
860,0.325194727418,0.674805272582
870,0.265807284009,0.734192715991
880,0.264832658431,0.735167341569
890,0.284550555839,0.715449444161
900,0.327392982932,0.672607017068
910,0.302166994613,0.697833005387
920,0.328274417595,0.671725582405
930,0.307038775575,0.692961224425
940,0.269334826905,0.730665173095
950,0.203590966534,0.796409033466
960,0.324317569448,0.675682430552
970,0.282113906332,0.717886093668
980,0.289873191695,0.710126808305
990,0.261342990672,0.738657009328
