episode,omega,omega5,omega1
0,0.289904149861,0.418447046652,0.291648803487
40,0.283229839514,0.469307743037,0.247462417448
80,0.308316847245,0.691683152755,0.0
120,0.438438929664,0.561561070336,0.0
160,0.496500057166,0.503499942834,0.0
200,1.0,0.0,0.0
240,1.0,0.0,0.0
280,1.0,0.0,0.0
320,1.0,0.0,0.0
360,1.0,0.0,0.0
400,1.0,0.0,0.0
440,1.0,0.0,0.0
480,1.0,0.0,0.0
520,1.0,0.0,0.0
560,1.0,0.0,0.0
600,1.0,0.0,0.0
640,1.0,0.0,0.0
680,1.0,0.0,0.0
720,1.0,0.0,0.0
760,1.0,0.0,0.0
800,1.0,0.0,0.0
840,1.0,0.0,0.0
880,1.0,0.0,0.0
920,1.0,0.0,0.0
960,1.0,0.0,0.0
1000,1.0,0.0,0.0
1040,1.0,0.0,0.0
1080,1.0,0.0,0.0
1120,1.0,0.0,0.0
1160,1.0,0.0,0.0
1200,1.0,0.0,0.0
1240,1.0,0.0,0.0
1280,1.0,0.0,0.0
1320,1.0,0.0,0.0
1360,1.0,0.0,0.0
1400,1.0,0.0,0.0
1440,1.0,0.0,0.0
1480,1.0,0.0,0.0
1520,1.0,0.0,0.0
1560,1.0,0.0,0.0
1600,1.0,0.0,0.0
1640,1.0,0.0,0.0
1680,1.0,0.0,0.0
1720,1.0,0.0,0.0
1760,1.0,0.0,0.0
1800,1.0,0.0,0.0
1840,1.0,0.0,0.0
1880,1.0,0.0,0.0
1920,1.0,0.0,0.0
1960,1.0,0.0,0.0
2000,1.0,0.0,0.0
